Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text_1.started,instruct_text_1.stopped,instruct_text_2.started,instruct_text_2.stopped,instruct_text_3.started,instruct_text_3.stopped,instruct_text_4.started,instruct_text_4.stopped,tut_sure.started,tut_sure.stopped,Tutbackdrop.started,Tutbackdrop.stopped,instruct_text_5.started,instruct_text_5.stopped,instruct_text_6.started,instruct_text_6.stopped,Tutbackdrop_2.started,Tutbackdrop_2.stopped,instruct_text_7.started,instruct_text_7.stopped,instruct_text_8.started,instruct_text_8.stopped,TutArrowTop.started,TutArrowTop.stopped,TutArrowBottom.started,TutArrowBottom.stopped,Tutbackdrop_3.started,Tutbackdrop_3.stopped,instruct_text_9.started,instruct_text_9.stopped,instruct_text_10.started,instruct_text_10.stopped,TutArrowTop_2.started,TutArrowTop_2.stopped,TutArrowBottom_2.started,TutArrowBottom_2.stopped,Tutbackdrop_5.started,Tutbackdrop_5.stopped,instruct_text_11.started,instruct_text_11.stopped,instruct_text_12.started,instruct_text_12.stopped,TutArrowTop_3.started,TutArrowTop_3.stopped,instruct_text_13.started,instruct_text_13.stopped,instruct_text_14.started,instruct_text_14.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Red_Square.started,Red_Square.stopped,Blue_Square.started,Blue_Square.stopped,sure.started,sure.stopped,or_text.started,or_text.stopped,Option_One.started,Option_One.stopped,Option_Two.started,Option_Two.stopped,Risk_Text_Top.started,Risk_Text_Top.stopped,Risk_Text_Bottom.started,Risk_Text_Bottom.stopped,Ambiguity_Bar.started,Ambiguity_Bar.stopped,participant,date,expName,psychopyVersion,frameRate,
-8,-8,0,13,87,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,0,0,48,13.763963699981105,None,13.763963699981105,None,15.769083400024101,None,15.769083400024101,None,15.769083400024101,None,17.34076200000709,None,17.34076200000709,None,17.34076200000709,None,18.44202870002482,None,18.44202870002482,None,18.44202870002482,None,18.44202870002482,None,18.44202870002482,None,20.07509450003272,None,20.07509450003272,None,20.07509450003272,None,20.07509450003272,None,20.07509450003272,None,32.80371320003178,None,32.80371320003178,None,32.80371320003178,None,32.80371320003178,None,57.94930690003093,None,57.94930690003093,None,right,2.5849711000337265,66.07026850001421,None,66.07026850001421,None,66.07026850001421,None,66.07026850001421,None,66.07026850001421,None,66.07026850001421,None,66.07026850001421,None,66.07026850001421,None,66.07026850001421,None,66.07026850001421,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
8,8,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,0,1,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,5.590041300049052,68.75337580003543,None,68.75337580003543,None,68.75337580003543,None,68.75337580003543,None,68.75337580003543,None,68.75337580003543,None,68.75337580003543,None,68.75337580003543,None,68.75337580003543,None,68.75337580003543,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
5,5,0,50,50,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0234466000110842,74.43355740001425,None,74.43355740001425,None,74.43355740001425,None,74.43355740001425,None,74.43355740001425,None,74.43355740001425,None,74.43355740001425,None,74.43355740001425,None,74.43355740001425,None,74.43355740001425,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
50,50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,0,3,3,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.6320665000239387,75.54227000003448,None,75.54227000003448,None,75.54227000003448,None,75.54227000003448,None,75.54227000003448,None,75.54227000003448,None,75.54227000003448,None,75.54227000003448,None,75.54227000003448,None,75.54227000003448,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
-5,-5,0,50,50,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.3980756999808364,76.26709979999578,None,76.26709979999578,None,76.26709979999578,None,76.26709979999578,None,76.26709979999578,None,76.26709979999578,None,76.26709979999578,None,76.26709979999578,None,76.26709979999578,None,76.26709979999578,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
8,8,0,25,75,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,5,5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.664125100011006,79.74688839999726,None,79.74688839999726,None,79.74688839999726,None,79.74688839999726,None,79.74688839999726,None,79.74688839999726,None,79.74688839999726,None,79.74688839999726,None,79.74688839999726,None,79.74688839999726,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
-8,-8,0,75,25,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,6,6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.6238340000272729,80.49515909998445,None,80.49515909998445,None,80.49515909998445,None,80.49515909998445,None,80.49515909998445,None,80.49515909998445,None,80.49515909998445,None,80.49515909998445,None,80.49515909998445,None,80.49515909998445,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
-125,-125,0,38,62,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,7,7,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.38801779999630526,81.28064240003005,None,81.28064240003005,None,81.28064240003005,None,81.28064240003005,None,81.28064240003005,None,81.28064240003005,None,81.28064240003005,None,81.28064240003005,None,81.28064240003005,None,81.28064240003005,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
20,20,0,38,62,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,8,8,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.39140879997285083,81.76295280002523,None,81.76295280002523,None,81.76295280002523,None,81.76295280002523,None,81.76295280002523,None,81.76295280002523,None,81.76295280002523,None,81.76295280002523,None,81.76295280002523,None,81.76295280002523,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
125,125,0,13,87,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,9,9,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.5483991999644786,82.25212590000592,None,82.25212590000592,None,82.25212590000592,None,82.25212590000592,None,82.25212590000592,None,82.25212590000592,None,82.25212590000592,None,82.25212590000592,None,82.25212590000592,None,82.25212590000592,None,,2020_Apr_12_2022,Tymula Experiment,3.2.3,59.84848755089255,
