key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
right,0.236999989,1,0,160,154,1,159,-125,-125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.31099987,1,0,160,146,1,159,-125,-125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.236999989,1,0,160,123,1,159,-50,-50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.265000105,1,0,160,10,1,159,5,5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.258999825,1,0,160,140,1,159,125,125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.272000074,1,0,160,109,1,159,50,50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.241999865,1,0,160,115,1,159,-50,-50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.269000053,1,0,160,62,1,159,-8,-8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.248999834,1,0,160,108,1,159,50,50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.232000113,1,0,160,39,1,159,8,8,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.227999926,1,0,160,24,1,159,-5,-5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.22300005,1,0,160,117,1,159,-50,-50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.235999823,1,0,160,41,1,159,8,8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.25,1,0,160,13,1,159,5,5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.275000095,1,0,160,153,1,159,-125,-125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.480999708,1,0,160,23,1,159,-5,-5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.289000034,1,0,160,103,1,159,50,50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.427000046,1,0,160,104,1,159,50,50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.333999872,1,0,160,120,1,159,-50,-50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.263999939,1,0,160,88,1,159,-20,-20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.233999968,1,0,160,5,1,159,5,5,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.237999916,1,0,160,151,1,159,-125,-125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.434000015,1,0,160,54,1,159,-8,-8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.36199975,1,0,160,113,1,159,-50,-50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.385999918,1,0,160,2,1,159,5,5,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.254999876,1,0,160,89,1,159,-20,-20,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.289000034,1,0,160,53,1,159,-8,-8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.299999952,1,0,160,67,1,159,20,20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.34800005,1,0,160,40,1,159,8,8,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.256999731,1,0,160,156,1,159,-125,-125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.445999861,1,0,160,137,1,159,125,125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.284999847,1,0,160,34,1,159,8,8,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.375999928,1,0,160,148,1,159,-125,-125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.502999783,1,0,160,155,1,159,-125,-125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.332000017,1,0,160,25,1,159,-5,-5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.369999886,1,0,160,118,1,159,-50,-50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.375,1,0,160,93,1,159,-20,-20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.896000147,1,0,160,157,1,159,-125,-125,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,3.735000134,1,0,160,27,1,159,-5,-5,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.670000076,1,0,160,106,1,159,50,50,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,2.162999868,1,0,160,20,1,159,-5,-5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.417000055,1,0,160,74,1,159,20,20,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.391000032,1,0,160,12,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.40899992,1,0,160,73,1,159,20,20,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.370999813,1,0,160,15,1,159,5,5,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.333999872,1,0,160,82,1,159,-20,-20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.349999905,1,0,160,122,1,159,-50,-50,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.346999884,1,0,160,87,1,159,-20,-20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.325999975,1,0,160,147,1,159,-125,-125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.336999893,1,0,160,46,1,159,8,8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.252999783,1,0,160,100,1,159,50,50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.303999901,1,0,160,8,1,159,5,5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.320999861,1,0,160,110,1,159,50,50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.321000099,1,0,160,134,1,159,125,125,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.336999893,1,0,160,84,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.257999897,1,0,160,69,1,159,20,20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.316999912,1,0,160,71,1,159,20,20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.413000107,1,0,160,125,1,159,-50,-50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.323999882,1,0,160,17,1,159,-5,-5,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.264999866,1,0,160,101,1,159,50,50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.28399992,1,0,160,9,1,159,5,5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.25,1,0,160,63,1,159,-8,-8,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.316999912,1,0,160,4,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.206999779,1,0,160,86,1,159,-20,-20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.324999809,1,0,160,159,1,159,-125,-125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.268000126,1,0,160,57,1,159,-8,-8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.506000042,1,0,160,33,1,159,8,8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.244999886,1,0,160,150,1,159,-125,-125,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.423999786,1,0,160,144,1,159,-125,-125,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.323999882,1,0,160,16,1,159,-5,-5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.429999828,1,0,160,121,1,159,-50,-50,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.28399992,1,0,160,91,1,159,-20,-20,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.552999973,1,0,160,83,1,159,-20,-20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.371000051,1,0,160,138,1,159,125,125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.497999907,1,0,160,99,1,159,50,50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.468999863,1,0,160,130,1,159,125,125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.336999893,1,0,160,32,1,159,8,8,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.460999966,1,0,160,139,1,159,125,125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.792000055,1,0,160,98,1,159,50,50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.78399992,1,0,160,47,1,159,8,8,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.427999973,1,0,160,111,1,159,50,50,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.343999863,1,0,160,158,1,159,-125,-125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
